Month,Calendar Year,Fiscal Year,Month Date,Route,Riders
May,2014,FY13-14,05/01/2014 12:00:00 AM,104,19392
May,2014,FY13-14,05/01/2014 12:00:00 AM,108,3765
May,2014,FY13-14,05/01/2014 12:00:00 AM,112,37325
May,2014,FY13-14,05/01/2014 12:00:00 AM,120,11560
May,2014,FY13-14,05/01/2014 12:00:00 AM,128,8437
May,2014,FY13-14,05/01/2014 12:00:00 AM,136,14530
May,2014,FY13-14,05/01/2014 12:00:00 AM,156,2399
May,2014,FY13-14,05/01/2014 12:00:00 AM,184,11785
May,2014,FY13-14,05/01/2014 12:00:00 AM,30,42580
May,2014,FY13-14,05/01/2014 12:00:00 AM,40,51887
May,2014,FY13-14,05/01/2014 12:00:00 AM,45,38461
May,2014,FY13-14,05/01/2014 12:00:00 AM,531,1033
May,2014,FY13-14,05/01/2014 12:00:00 AM,533,5030
May,2014,FY13-14,05/01/2014 12:00:00 AM,535,3185
May,2014,FY13-14,05/01/2014 12:00:00 AM,541,1065
May,2014,FY13-14,05/01/2014 12:00:00 AM,61,71013
May,2014,FY13-14,05/01/2014 12:00:00 AM,77,3741
May,2014,FY13-14,05/01/2014 12:00:00 AM,96,42933
May,2014,FY13-14,05/01/2014 12:00:00 AM,AZ Ave Link,22412
May,2014,FY13-14,05/01/2014 12:00:00 AM,Buzz,8295
May,2014,FY13-14,05/01/2014 12:00:00 AM,Main St Link,27714
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,104,17606
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,108,3886
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,112,36586
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,120,10836
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,128,7469
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,136,12293
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,156,1859
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,184,9953
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,30,38311
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,40,48724
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,45,37836
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,531,1128
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,533,5637
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,535,3026
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,541,935
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,61,61089
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,77,4058
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,96,40127
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,AZ Ave Link,20757
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,Buzz,6557
Jun,2014,FY13-14,06/01/2014 12:00:00 AM,Main St Link,26479
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,104,17948
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,108,3999
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,112,34906
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,120,10838
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,128,8304
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,136,12635
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,156,1559
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,184,9305
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,30,35462
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,40,48131
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,45,31048
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,531,794
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,533,5823
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,535,3022
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,541,682
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,61,52825
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,77,3428
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,96,33693
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,AZ Ave Link,21775
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,Buzz,6527
Jul,2014,FY14-15,07/01/2014 12:00:00 AM,Main St Link,29628
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,104,21877
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,108,4276
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,112,37622
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,120,11420
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,128,9114
